cust_id,Count,cosine,anomaly,propensity
73588,2,1,0,1
73556,2,0,1,1
73534,2,0,1,1
50813,2,0,1,1
72546,2,0,1,1
51067,2,0,1,1
51256,2,1,0,1
71424,2,0,1,1
70677,2,0,1,1
70412,2,0,1,1
26204,2,0,1,1
62754,2,0,1,1
95134,2,0,1,1
92441,2,0,1,1
11332,2,0,1,1
92534,2,0,1,1
21661,2,1,0,1
18084,2,0,1,1
21817,2,0,1,1
21985,2,0,1,1
18021,2,0,1,1
14348,2,1,0,1
11065,2,0,1,1
96675,2,0,1,1
22570,2,1,0,1
17445,2,0,1,1
96273,2,0,1,1
14265,2,0,1,1
11376,2,1,0,1
93837,2,0,1,1
96524,2,0,1,1
11393,2,0,1,1
20832,2,0,1,1
96596,2,1,0,1
18725,2,0,1,1
18781,2,0,1,1
94532,2,0,1,1
93056,2,0,1,1
20595,2,0,1,1
93680,2,1,0,1
96800,2,0,1,1
20003,2,1,1,0
93121,2,0,1,1
19724,2,0,1,1
19523,2,1,0,1
91667,2,0,1,1
13089,2,0,1,1
94292,2,0,1,1
91227,2,0,1,1
24695,2,1,0,1
95688,2,0,1,1
94226,2,0,1,1
95687,2,0,1,1
90347,2,0,1,1
16078,2,0,1,1
24359,2,0,1,1
99088,2,0,1,1
25006,2,1,0,1
25247,2,0,1,1
14815,2,0,1,1
24860,2,0,1,1
25684,2,0,1,1
25435,2,1,0,1
98989,2,0,1,1
94128,2,1,0,1
99666,2,0,1,1
74958,1,0,1,0
70115,1,1,0,0
70025,1,1,0,0
69670,1,0,0,1
69629,1,0,0,1
95484,1,0,1,0
68899,1,1,0,0
74794,1,0,0,1
68494,1,0,0,1
74861,1,0,0,1
69233,1,1,0,0
95594,1,1,0,0
68902,1,1,0,0
68872,1,0,0,1
68651,1,0,1,0
73447,1,0,1,0
70175,1,1,0,0
74772,1,0,1,0
72757,1,1,0,0
95866,1,0,1,0
72561,1,1,0,0
95783,1,1,0,0
95986,1,0,1,0
73641,1,1,0,0
72370,1,0,1,0
73696,1,0,0,1
72136,1,1,0,0
96299,1,0,1,0
72034,1,0,0,1
73834,1,0,1,0
71611,1,1,0,0
96305,1,0,0,1
74131,1,0,0,1
71008,1,0,0,1
96412,1,0,1,0
73099,1,0,0,1
74220,1,1,0,0
72152,1,0,0,1
90063,1,0,0,1
68380,1,0,1,0
63642,1,1,0,0
64572,1,0,0,1
64460,1,1,0,0
98653,1,0,1,0
64407,1,0,1,0
64391,1,1,0,0
98795,1,1,0,0
64196,1,0,1,0
64070,1,1,0,0
64041,1,0,1,0
98957,1,0,1,0
63966,1,0,0,1
63796,1,1,0,0
99125,1,0,1,0
64830,1,0,0,1
63527,1,1,0,0
63429,1,1,0,0
63419,1,0,1,0
63382,1,1,0,0
99191,1,1,0,0
63353,1,0,1,0
63249,1,0,1,0
63165,1,1,0,0
99375,1,0,0,1
63053,1,1,0,0
62790,1,1,0,0
99718,1,0,1,0
64612,1,1,0,0
98645,1,0,0,1
96741,1,0,1,0
66922,1,1,0,0
67875,1,1,0,0
